0.000000e+00 4.000000e+02 -8.000000e+02     -nan     -nan 6.666667e-01
2.248980e+00 2.910359e+02 -5.911221e+02 1.981937e+03 6.128183e+02 6.245776e-01
2.253425e+00 2.872105e+02 -5.879053e+02 2.165355e+03 6.267581e+02 6.205006e-01
2.257869e+00 2.850697e+02 -5.854364e+02 2.207071e+03 6.299983e+02 6.186482e-01
2.262314e+00 2.812060e+02 -5.820597e+02 2.335300e+03 6.345493e+02 6.147018e-01
2.266758e+00 2.788284e+02 -5.795797e+02 2.406256e+03 6.425500e+02 6.123701e-01
2.271202e+00 2.762327e+02 -5.768346e+02 2.463980e+03 6.447764e+02 6.099791e-01
2.275647e+00 2.735823e+02 -5.741798e+02 2.539934e+03 6.493307e+02 6.072177e-01
2.280091e+00 2.695516e+02 -5.707933e+02 2.682355e+03 6.572509e+02 6.024700e-01
2.284536e+00 2.667193e+02 -5.679685e+02 2.723271e+03 6.599059e+02 5.996297e-01
