0.000000e+00 1.600000e+03 -3.200000e+03     -nan     -nan 6.666667e-01
2.248980e+00 1.107480e+03 -2.347965e+03 2.305071e+04 2.871987e+03 6.322294e-01
2.253425e+00 1.092690e+03 -2.336490e+03 2.470779e+04 2.950211e+03 6.291258e-01
2.257869e+00 1.069422e+03 -2.322182e+03 2.855581e+04 3.060830e+03 6.231084e-01
2.262314e+00 1.043244e+03 -2.307254e+03 3.201370e+04 3.119338e+03 6.156318e-01
2.266758e+00 1.031052e+03 -2.295692e+03 3.170906e+04 3.122546e+03 6.139710e-01
2.271202e+00 9.970035e+02 -2.277936e+03 3.647231e+04 3.222715e+03 6.033090e-01
2.275647e+00 9.838494e+02 -2.267202e+03 3.652699e+04 3.172753e+03 6.013872e-01
2.280091e+00 9.527337e+02 -2.251029e+03 4.029356e+04 3.212204e+03 5.906929e-01
2.284536e+00 9.300966e+02 -2.236442e+03 4.096734e+04 3.220826e+03 5.842082e-01
