0.000000e+00 1.600000e+03 -3.200000e+03     -nan     -nan 6.666667e-01
2.268813e+00 1.087202e+03 -2.309784e+03 1.709400e+04 2.827994e+03 6.341706e-01
2.269480e+00 9.524128e+02 -2.270159e+03 4.348192e+04 3.607564e+03 5.789742e-01
2.270146e+00 1.038047e+03 -2.291688e+03 2.465018e+04 2.786267e+03 6.207035e-01
2.270813e+00 1.116111e+03 -2.317774e+03 1.023254e+04 2.578098e+03 6.453681e-01
2.271480e+00 7.933058e+02 -2.224057e+03 6.707503e+04 3.359003e+03 5.004809e-01
2.272146e+00 9.308974e+02 -2.261353e+03 5.023029e+04 3.713402e+03 5.723887e-01
2.272813e+00 1.073109e+03 -2.299112e+03 1.676595e+04 2.680776e+03 6.334218e-01
2.273480e+00 1.026207e+03 -2.279830e+03 2.438752e+04 2.935960e+03 6.204109e-01
2.274146e+00 1.000014e+03 -2.282338e+03 3.725783e+04 3.000995e+03 6.061086e-01
2.274813e+00 8.624066e+02 -2.231358e+03 5.072806e+04 3.483218e+03 5.480820e-01
2.275480e+00 1.060026e+03 -2.286178e+03 1.598724e+04 2.758049e+03 6.345733e-01
2.276146e+00 1.008608e+03 -2.265372e+03 2.388883e+04 3.007152e+03 6.162618e-01
2.276813e+00 1.071266e+03 -2.288102e+03 1.512249e+04 2.675144e+03 6.360807e-01
2.277480e+00 9.810680e+02 -2.264515e+03 4.302946e+04 3.250758e+03 5.984638e-01
2.316000e+00 7.325668e+02 -2.135469e+03 5.199310e+04 2.763749e+03 5.030430e-01
2.362857e+00 4.959884e+02 -2.016863e+03 4.791773e+04 2.424964e+03 2.961812e-01
2.409714e+00 4.206758e+02 -1.920001e+03 3.312343e+04 1.921599e+03 2.818342e-01
2.456571e+00 3.135712e+02 -1.832476e+03 1.946225e+04 1.689975e+03 1.741153e-01
2.503429e+00 2.621824e+02 -1.766361e+03 1.319505e+04 1.411358e+03 1.591381e-01
2.550286e+00 2.351546e+02 -1.702644e+03 1.014507e+04 1.162265e+03 1.929800e-01
2.597143e+00 1.912628e+02 -1.642973e+03 7.944441e+03 1.149177e+03 5.316165e-02
