0.000000e+00 1.600000e+03 -3.200000e+03     -nan     -nan 6.666667e-01
2.268813e+00 7.630460e+01 -1.487736e+02 1.677817e+02 1.234634e+02 6.144143e-01
2.269480e+00 7.536040e+01 -1.468008e+02 1.736975e+02 1.236690e+02 6.129758e-01
2.270146e+00 7.634620e+01 -1.479964e+02 1.666341e+02 1.245923e+02 6.166870e-01
2.270813e+00 7.504300e+01 -1.467776e+02 1.867563e+02 1.297266e+02 6.089241e-01
2.271480e+00 7.412200e+01 -1.456476e+02 2.013121e+02 1.301399e+02 6.063048e-01
2.272146e+00 7.503040e+01 -1.465908e+02 1.856735e+02 1.308134e+02 6.092169e-01
2.272813e+00 7.494700e+01 -1.468156e+02 1.889315e+02 1.244572e+02 6.102897e-01
2.273480e+00 7.652120e+01 -1.481704e+02 1.562294e+02 1.207623e+02 6.177034e-01
2.274146e+00 7.430000e+01 -1.457540e+02 1.966426e+02 1.364647e+02 6.054770e-01
2.274813e+00 7.615700e+01 -1.473820e+02 1.562772e+02 1.230877e+02 6.168585e-01
2.275480e+00 7.749360e+01 -1.488120e+02 1.362707e+02 1.168408e+02 6.228400e-01
2.276146e+00 7.576140e+01 -1.475588e+02 1.706953e+02 1.208197e+02 6.141031e-01
2.276813e+00 7.568620e+01 -1.474632e+02 1.757830e+02 1.244393e+02 6.128928e-01
2.277480e+00 7.367440e+01 -1.452672e+02 1.989190e+02 1.284822e+02 6.039650e-01
2.316000e+00 7.175880e+01 -1.420808e+02 2.131873e+02 1.306684e+02 5.958772e-01
2.362857e+00 6.755980e+01 -1.362400e+02 2.395216e+02 1.332726e+02 5.756482e-01
2.409714e+00 6.511960e+01 -1.317188e+02 2.229851e+02 1.215318e+02 5.681871e-01
2.456571e+00 5.609340e+01 -1.218920e+02 2.710541e+02 1.197091e+02 5.050537e-01
2.503429e+00 5.200600e+01 -1.164652e+02 2.589473e+02 1.058307e+02 4.812669e-01
2.550286e+00 5.037420e+01 -1.136192e+02 2.563059e+02 1.072522e+02 4.631842e-01
2.597143e+00 4.756800e+01 -1.104564e+02 2.443463e+02 9.380886e+01 4.436688e-01
2.644000e+00 4.185060e+01 -1.035880e+02 2.310456e+02 8.506845e+01 3.797524e-01
2.690857e+00 4.140480e+01 -1.014780e+02 2.130117e+02 7.726659e+01 3.864281e-01
2.737714e+00 3.718700e+01 -9.688480e+01 1.930756e+02 6.937046e+01 3.275737e-01
2.784571e+00 3.456160e+01 -9.371000e+01 1.682260e+02 5.962496e+01 3.061984e-01
2.831429e+00 3.340940e+01 -9.121640e+01 1.621896e+02 5.865250e+01 2.839192e-01
2.878286e+00 3.140460e+01 -8.812800e+01 1.485880e+02 5.226277e+01 2.681291e-01
2.925143e+00 2.933680e+01 -8.582040e+01 1.367712e+02 5.069832e+01 2.175302e-01
2.972000e+00 2.872320e+01 -8.369200e+01 1.285180e+02 4.642246e+01 2.200020e-01
3.018857e+00 2.727900e+01 -8.148960e+01 1.171338e+02 4.103683e+01 2.118876e-01
3.065714e+00 2.591660e+01 -7.949760e+01 1.076061e+02 3.950923e+01 1.767614e-01
3.112571e+00 2.456600e+01 -7.789760e+01 9.949421e+01 3.763123e+01 1.559042e-01
3.159429e+00 2.427020e+01 -7.615720e+01 9.612023e+01 3.683363e+01 1.355456e-01
3.206286e+00 2.400860e+01 -7.454000e+01 8.734254e+01 3.345901e+01 1.742163e-01
3.253143e+00 2.367160e+01 -7.378680e+01 8.786683e+01 3.312677e+01 1.492900e-01
-02
.419145e+00
