0.000000e+00 1.000000e+02 -2.000000e+02     -nan     -nan 6.666667e-01
2.248980e+00 7.729114e+01 -1.501350e+02 1.653143e+02 1.230920e+02 6.186821e-01
2.253425e+00 7.701815e+01 -1.497139e+02 1.680505e+02 1.241500e+02 6.175449e-01
2.257869e+00 7.655690e+01 -1.490056e+02 1.714962e+02 1.249528e+02 6.158927e-01
2.262314e+00 7.625456e+01 -1.484960e+02 1.728104e+02 1.248722e+02 6.148968e-01
2.266758e+00 7.589771e+01 -1.479783e+02 1.764459e+02 1.257281e+02 6.134844e-01
2.271202e+00 7.539606e+01 -1.473291e+02 1.818809e+02 1.261619e+02 6.114097e-01
2.275647e+00 7.513375e+01 -1.468264e+02 1.807231e+02 1.256403e+02 6.107979e-01
2.280091e+00 7.468149e+01 -1.462605e+02 1.864610e+02 1.269527e+02 6.085422e-01
2.284536e+00 7.413383e+01 -1.455213e+02 1.920533e+02 1.288122e+02 6.060157e-01
