0.000000e+00 1.000000e+02 -2.000000e+02     -nan     -nan 6.666667e-01
2.268813e+00 7.521320e+01 -1.474372e+02 1.885297e+02 1.266572e+02 6.100756e-01
2.269480e+00 7.577020e+01 -1.476424e+02 1.757571e+02 1.269665e+02 6.131857e-01
2.270146e+00 7.551860e+01 -1.468748e+02 1.703671e+02 1.278909e+02 6.127214e-01
2.270813e+00 7.708880e+01 -1.487616e+02 1.499101e+02 1.205378e+02 6.199356e-01
2.271480e+00 7.566800e+01 -1.477236e+02 1.758713e+02 1.212806e+02 6.132644e-01
2.272146e+00 7.629200e+01 -1.482668e+02 1.690505e+02 1.236793e+02 6.156253e-01
2.272813e+00 7.427980e+01 -1.459860e+02 1.929688e+02 1.277161e+02 6.065504e-01
2.273480e+00 7.689020e+01 -1.486384e+02 1.590615e+02 1.197214e+02 6.194746e-01
2.274146e+00 7.722700e+01 -1.487780e+02 1.452697e+02 1.165530e+02 6.218330e-01
2.274813e+00 7.447720e+01 -1.461704e+02 1.937426e+02 1.245519e+02 6.077361e-01
2.275480e+00 7.456620e+01 -1.458912e+02 1.806134e+02 1.249618e+02 6.090891e-01
2.276146e+00 7.410900e+01 -1.454808e+02 1.900745e+02 1.319957e+02 6.058592e-01
2.276813e+00 7.753640e+01 -1.493108e+02 1.522575e+02 1.179377e+02 6.221560e-01
2.277480e+00 7.493940e+01 -1.464176e+02 1.800810e+02 1.223408e+02 6.109585e-01
2.316000e+00 7.236280e+01 -1.423200e+02 1.929635e+02 1.238434e+02 6.010637e-01
2.362857e+00 6.640000e+01 -1.351380e+02 2.386768e+02 1.268884e+02 5.699576e-01
2.409714e+00 6.358860e+01 -1.312040e+02 2.509612e+02 1.293045e+02 5.536444e-01
2.456571e+00 5.663920e+01 -1.233128e+02 2.785744e+02 1.228908e+02 5.068029e-01
2.503429e+00 5.346780e+01 -1.183328e+02 2.591903e+02 1.070181e+02 4.921480e-01
2.550286e+00 5.125180e+01 -1.145216e+02 2.415660e+02 1.043697e+02 4.759406e-01
2.597143e+00 4.543960e+01 -1.077852e+02 2.378427e+02 9.302710e+01 4.181818e-01
2.644000e+00 4.445360e+01 -1.060572e+02 2.296550e+02 8.655477e+01 4.140509e-01
